school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,subject,G1,G2
0,0,19,0,0,1,1,1,2,2,0,2,3,3,0,0,0,0,1,1,0,0,1,1,5,5,4,3,5,12,1,10,10
0,1,17,1,0,1,3,4,0,2,0,1,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,1,10,9
0,1,18,0,0,1,3,2,3,2,0,1,2,1,0,0,0,0,0,1,0,1,0,4,4,5,2,4,5,8,1,7,8
0,0,16,1,0,1,3,3,3,2,3,0,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,1,11,11
1,0,17,1,0,1,1,1,2,3,3,1,3,1,1,0,1,1,0,1,1,1,1,5,2,1,1,2,1,0,0,7,6
0,1,15,0,1,1,2,2,3,3,1,1,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,0,15,15
0,0,16,0,0,1,1,1,3,3,0,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,0,10,8
0,0,18,0,0,1,4,4,4,2,0,1,1,2,0,0,1,0,0,1,1,1,0,4,4,4,3,3,5,0,1,12,11
0,0,18,0,1,1,1,1,2,2,1,1,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,0,11,11
0,1,17,0,0,1,1,1,2,2,3,0,1,2,0,0,0,1,0,0,1,1,0,4,3,3,1,2,4,2,0,12,10
1,0,18,1,1,0,1,4,0,2,0,1,3,2,0,0,0,0,0,1,1,0,1,4,3,4,1,4,5,0,0,13,13
1,1,17,1,0,1,4,3,3,2,1,1,2,2,0,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,0,13,11
1,0,17,0,0,0,1,1,0,0,2,1,1,2,0,0,0,0,1,1,1,1,1,4,5,5,1,2,3,2,1,11,10
0,0,18,0,0,1,4,4,1,1,3,0,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,0,9,8
0,1,15,0,1,1,4,4,1,3,0,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,0,14,14
0,0,17,0,0,1,2,4,3,3,3,0,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,0,16,17
1,0,18,0,0,1,2,3,0,3,0,0,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0,0,11,10
1,1,16,0,0,1,4,4,2,4,0,0,1,2,0,0,1,0,1,1,1,0,1,4,3,1,1,1,3,0,1,13,12
0,1,17,0,0,1,2,3,2,2,0,0,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,2,1,9,12
0,0,16,1,0,1,2,2,3,3,3,1,2,4,0,0,1,0,1,0,1,1,0,5,3,5,1,1,5,6,1,13,13
0,1,17,0,1,1,4,3,4,2,0,1,2,2,0,0,0,0,1,1,1,1,0,4,4,4,4,4,4,0,1,10,11
0,0,18,0,0,1,2,3,0,2,0,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,0,1,11,12
0,0,18,0,0,1,2,1,2,2,0,2,2,3,0,0,1,0,0,0,1,1,1,4,4,4,1,1,3,10,1,12,10
0,0,16,0,0,1,1,1,3,3,0,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,1,10,10
1,1,18,1,1,1,3,2,3,2,0,1,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,0,0,11,12
0,1,16,0,0,1,3,3,0,2,3,2,3,2,1,1,1,0,0,0,1,1,0,5,3,3,1,3,2,4,1,9,11
0,0,19,1,0,1,3,2,3,3,3,0,1,2,1,1,1,0,0,1,0,1,0,3,3,3,4,3,3,0,1,9,8
1,0,18,1,0,1,1,1,2,2,1,1,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,2,0,8,8
0,0,16,0,0,1,3,3,2,2,3,1,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,1,13,14
0,0,16,0,0,1,3,3,2,3,1,1,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,0,11,12
1,1,17,1,1,1,1,3,2,2,0,0,2,1,0,0,0,0,1,1,1,0,1,5,1,2,3,3,5,2,1,12,11
0,0,15,0,0,0,3,3,2,1,3,0,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,1,10,10
0,0,16,0,0,1,2,3,3,3,0,1,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,6,1,12,12
0,1,15,1,0,1,2,1,1,3,3,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,0,9,9
0,1,16,0,1,1,4,2,4,2,0,1,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,1,12,13
0,1,16,0,1,0,4,4,4,1,3,1,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,0,8,6
1,0,18,1,1,1,2,2,3,3,0,1,1,2,1,0,1,0,1,1,1,1,0,2,3,3,1,2,4,3,1,7,6
1,0,16,0,1,1,4,4,3,3,2,0,2,1,0,0,1,0,0,1,1,0,0,5,1,3,1,2,5,1,1,11,11
1,1,16,0,0,0,1,2,2,2,2,1,1,3,0,1,0,0,0,1,1,1,0,4,4,3,1,1,5,0,1,10,11
1,0,16,1,0,1,2,2,0,2,0,1,2,2,1,0,1,0,1,0,1,0,0,4,4,4,2,3,5,2,1,12,11
0,0,15,0,0,1,2,1,3,2,3,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,0,10,12
0,0,17,0,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,1,9,11
0,1,16,1,0,1,3,3,3,3,3,1,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,0,1,11,10
0,1,15,0,0,1,4,4,3,4,0,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,0,19,18
0,0,16,0,0,1,4,2,1,3,1,0,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,0,14,15
0,1,15,0,0,1,4,4,1,1,2,0,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,1,11,12
0,0,18,0,1,1,4,2,4,2,0,1,1,2,0,0,1,0,1,1,1,1,0,4,2,2,1,1,3,0,1,14,17
0,1,15,0,0,1,4,4,3,3,3,1,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,1,15,15
1,1,17,0,0,1,3,4,3,2,2,1,1,2,1,0,1,0,1,0,1,1,1,5,4,4,3,4,5,8,1,8,9
1,0,18,1,1,1,4,4,2,2,3,1,2,3,0,0,0,0,0,1,1,1,0,5,4,4,1,1,1,0,1,15,17
0,0,17,0,0,1,4,3,1,3,3,1,1,3,0,0,1,0,0,1,1,1,0,4,2,2,1,2,3,0,1,17,18
0,0,16,0,0,1,1,2,2,2,0,1,1,1,0,0,0,0,0,1,0,1,0,5,3,5,1,2,5,4,1,12,11
0,1,19,0,1,0,4,3,3,0,3,1,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12,0,11,11
0,0,17,0,0,1,3,4,3,2,0,1,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16,0,16,15
0,0,16,0,0,1,4,4,1,2,1,1,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,0,14,14
0,1,17,0,1,0,3,2,4,3,1,1,1,1,0,0,0,0,0,1,1,1,0,4,4,4,3,4,3,18,1,13,13
0,0,17,0,1,1,0,2,0,0,1,0,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0,0,16,15
0,0,20,1,0,1,1,1,2,2,3,2,2,3,0,0,0,0,0,1,1,1,1,3,2,2,1,3,3,8,1,11,15
0,0,16,0,0,1,2,3,3,4,2,1,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,0,16,16
0,1,17,0,0,1,4,3,2,2,0,1,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,0,10,10
0,0,16,0,0,1,4,3,2,0,0,1,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,0,7,9
0,0,15,0,1,0,3,4,2,2,1,1,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,1,10,11
0,1,16,0,1,1,4,2,4,2,0,1,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,0,15,15
1,0,17,1,0,1,4,4,4,3,2,0,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,4,0,12,13
0,1,18,0,0,1,4,4,4,3,1,1,2,1,0,0,0,0,1,1,1,1,0,3,2,4,1,4,3,6,1,11,12
1,0,16,1,1,1,3,4,0,2,2,1,3,2,0,0,1,0,0,0,1,0,0,4,2,1,1,1,2,2,1,7,9
1,0,18,1,0,1,2,2,0,2,2,1,2,3,0,0,0,0,0,1,1,0,0,5,3,3,1,3,4,0,1,14,17
0,0,19,0,0,1,2,1,3,3,1,2,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,0,11,12
0,1,15,0,1,1,4,3,4,3,1,1,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,1,14,14
0,1,16,0,0,1,3,3,3,2,1,1,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0,1,11,12
1,0,16,0,0,1,3,3,2,2,3,1,1,1,0,0,0,0,1,1,0,1,1,4,5,4,1,1,4,0,1,14,13
0,0,17,1,0,1,2,2,2,2,3,1,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,0,7,6
1,0,17,1,0,1,4,2,2,2,0,1,2,2,0,1,1,0,0,0,1,1,0,4,3,3,2,3,5,0,1,17,18
0,0,16,0,0,1,4,2,4,3,1,1,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,0,11,10
0,0,17,0,0,0,3,3,1,2,3,1,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,10,1,12,13
0,0,15,1,1,1,2,2,1,3,3,1,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,0,8,9
0,1,16,0,0,1,4,4,3,3,0,1,1,1,0,0,0,1,1,1,1,1,0,5,3,2,1,2,5,4,1,14,15
0,0,17,0,0,1,2,2,2,2,0,1,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4,0,10,9
1,0,16,0,0,1,2,2,2,3,0,0,1,1,1,0,1,1,1,0,1,1,0,4,4,3,1,4,3,1,1,9,10
0,0,15,1,0,1,2,2,0,2,3,1,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,1,14,13
0,1,19,0,0,1,3,2,3,0,1,1,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,0,5,0
0,1,15,0,0,1,4,3,4,2,1,1,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,0,9,9
0,0,17,1,0,1,2,4,0,2,0,0,1,3,0,0,1,0,0,1,1,1,1,4,4,3,1,1,5,0,1,15,15
0,0,15,0,1,1,4,2,1,2,2,1,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,1,16,14
0,0,17,0,0,0,3,3,1,2,3,1,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,0,8,7
0,0,18,0,0,1,2,3,2,3,3,0,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4,0,15,14
0,1,17,0,1,1,2,2,2,2,1,0,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4,0,14,13
0,0,16,0,1,1,3,1,2,2,1,0,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0,1,12,13
0,1,16,0,1,1,2,1,0,2,0,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,1,9,10
0,1,16,0,0,1,3,3,2,3,1,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,0,13,14
1,1,15,0,0,1,3,3,3,3,0,0,2,1,0,0,1,0,1,0,1,1,0,4,3,3,2,4,3,11,1,12,10
0,1,16,0,0,1,3,3,2,3,1,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,1,14,14
1,0,17,1,0,1,2,2,0,2,2,1,1,1,0,0,1,1,0,1,1,1,0,5,1,3,1,2,5,5,1,9,9
0,0,16,0,0,1,4,4,4,3,1,1,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,4,1,15,16
0,0,15,0,1,0,3,4,2,2,1,1,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,0,7,10
0,1,15,0,0,1,4,4,2,4,3,0,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,0,11,13
0,1,17,0,0,1,2,1,2,2,1,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,1,9,9
0,1,17,0,1,1,4,4,2,4,1,0,2,1,0,0,0,0,0,1,1,1,0,4,1,1,2,2,5,0,1,12,13
0,1,15,0,0,1,4,4,4,1,3,1,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,0,14,15
0,0,18,1,1,1,1,1,0,2,3,1,2,4,0,0,1,0,1,1,1,0,0,5,2,2,1,1,3,2,1,17,17
1,1,19,1,0,1,1,1,2,3,1,2,3,2,1,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,1,10,9
1,0,18,1,0,1,4,4,2,4,2,0,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10,0,14,12
0,1,18,0,0,1,4,2,1,2,3,0,1,2,0,0,1,1,1,1,1,1,1,5,4,5,1,3,5,10,0,10,9
0,0,16,0,1,0,3,3,2,3,1,1,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,0,11,12
1,1,18,1,0,1,3,2,2,2,0,1,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10,0,11,13
0,0,17,0,1,1,2,4,3,3,0,0,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,0,14,15
0,1,15,0,0,1,4,4,3,2,0,1,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,0,10,13
1,0,16,1,1,1,1,1,3,3,1,1,1,1,0,0,1,0,1,1,1,1,1,4,4,4,2,2,4,2,1,14,14
0,1,18,0,1,1,4,4,4,4,1,1,1,1,0,0,1,0,0,1,1,1,1,1,4,2,2,2,1,0,1,18,18
0,0,17,0,0,1,3,2,2,2,1,1,1,2,0,0,1,0,0,1,1,1,1,4,3,2,2,3,2,0,1,12,13
0,0,17,0,0,1,3,3,2,2,1,1,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4,0,10,9
0,1,15,0,0,1,4,2,4,2,1,1,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,1,11,12
0,0,18,0,0,1,1,1,2,2,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,0,1,12,13
0,1,19,0,0,1,3,3,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,4,4,4,1,1,3,20,0,15,14
0,1,18,0,0,1,4,4,4,3,1,0,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,0,10,10
0,1,18,0,0,1,4,3,4,2,0,1,1,3,0,0,1,0,0,1,1,1,1,5,4,5,2,3,5,0,1,14,13
0,0,19,0,1,1,3,2,3,2,3,2,2,2,1,0,1,1,0,0,1,1,1,4,2,2,1,2,1,22,0,13,10
0,1,15,0,1,0,2,1,3,2,0,1,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,0,8,9
0,0,16,0,0,1,2,2,2,2,1,1,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,0,8,7
1,1,18,1,1,1,3,2,3,2,0,1,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,4,1,10,11
1,0,15,1,1,1,1,1,0,2,0,1,2,1,0,0,1,0,0,1,0,0,1,5,2,1,1,3,4,0,1,9,10
0,0,16,0,1,1,2,2,3,3,0,1,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,0,12,13
1,1,19,1,0,1,1,1,2,2,1,2,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,0,8,8
1,1,18,0,1,1,4,4,3,2,3,1,1,1,0,0,1,0,1,1,1,1,0,5,4,5,1,1,5,3,1,17,17
0,0,15,0,0,1,4,4,4,3,0,1,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,0,9,11
0,1,15,0,0,1,4,3,4,2,1,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,1,11,11
0,0,16,0,0,1,3,3,2,2,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,1,11,13
0,0,17,0,0,1,3,3,3,2,1,1,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,3,5,10,1,11,11
0,0,17,0,0,0,4,3,3,3,0,1,1,2,0,0,1,1,0,1,1,1,1,5,2,2,1,2,5,23,0,13,13
0,1,16,0,1,1,4,3,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,0,8,10
1,0,17,1,0,1,2,1,0,2,0,1,3,1,0,0,1,0,1,1,0,0,1,5,5,3,1,1,3,2,1,9,10
1,1,17,1,0,1,2,1,2,2,2,1,3,1,0,0,0,0,1,1,0,0,1,5,5,5,5,5,3,8,1,8,10
1,1,16,1,1,1,1,1,0,2,0,1,2,1,0,0,0,0,1,1,1,1,0,4,5,5,2,4,5,0,1,10,10
0,1,15,0,1,1,4,4,1,3,0,0,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,1,12,13
0,1,18,0,1,1,3,1,3,3,0,1,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,1,11,11
1,0,18,1,0,0,4,3,3,3,0,1,1,1,0,0,1,0,0,1,1,1,0,5,4,4,3,4,2,8,1,10,11
0,0,15,1,0,1,3,4,3,1,0,1,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0,12,12
0,1,17,0,1,1,4,3,4,2,0,1,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,0,10,9
0,1,16,0,0,1,2,1,2,2,0,1,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,6,0,18,18
1,1,18,1,0,1,1,1,2,2,1,1,2,1,1,0,0,0,1,1,0,1,0,4,4,3,3,4,4,0,1,8,9
0,0,18,0,0,1,4,4,1,1,3,0,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,2,1,14,12
1,1,19,1,0,1,1,1,2,3,2,1,2,1,1,0,0,0,0,1,1,0,0,4,3,2,1,3,5,0,1,5,8
1,0,16,1,0,1,2,3,0,3,2,1,2,2,0,0,1,0,1,1,1,1,0,3,3,3,1,1,2,0,1,8,10
0,0,17,0,0,1,4,4,2,4,0,1,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,0,11,11
0,0,17,0,0,1,1,1,3,4,3,1,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6,0,13,12
0,0,17,0,0,1,4,3,2,2,3,1,1,2,0,0,0,0,0,1,1,1,1,3,4,5,2,4,1,16,1,11,9
1,0,16,0,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,1,0,1,5,4,3,2,1,2,0,1,13,14
0,1,17,1,1,1,2,1,0,2,0,1,2,1,1,0,0,1,1,1,0,1,1,3,3,2,2,2,5,8,1,8,8
1,0,18,1,0,1,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,1,1,3,2,3,1,1,2,4,1,9,11
0,0,16,0,0,1,3,3,2,2,3,1,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,0,8,10
0,0,19,0,0,1,0,1,0,2,0,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,0,7,8
0,0,17,1,1,1,2,2,3,3,0,1,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3,0,11,11
0,1,17,0,1,1,1,1,1,2,0,1,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2,0,7,9
0,0,18,1,0,1,4,4,4,2,3,1,2,2,0,0,0,0,1,1,1,1,0,4,3,4,2,2,4,8,1,10,11
1,0,18,1,1,1,4,4,4,3,0,1,1,2,0,0,0,0,1,1,1,1,0,5,4,3,3,4,2,1,1,13,14
0,0,16,0,0,1,2,3,3,3,0,1,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,0,11,12
0,1,16,0,0,1,4,4,4,4,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,0,15,15
0,0,17,0,0,0,4,3,3,3,0,1,1,2,0,0,1,0,0,1,1,1,1,5,2,2,1,2,5,14,1,15,14
0,1,16,1,1,1,3,3,4,2,1,0,3,1,0,0,1,0,1,1,1,1,0,3,3,4,3,5,3,16,1,10,11
0,1,16,0,0,1,4,3,4,2,1,1,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,0,9,8
0,1,17,0,1,1,4,4,2,4,1,0,2,1,0,0,0,1,0,1,1,1,0,4,1,1,2,2,5,0,0,11,11
0,0,19,0,0,1,4,4,4,2,1,2,1,1,1,0,1,0,0,1,1,1,1,3,2,5,4,4,5,5,1,9,10
0,0,17,0,1,0,3,3,3,2,1,1,1,2,0,1,1,0,0,1,1,1,0,5,3,3,1,1,5,0,1,12,12
0,1,17,0,0,1,3,3,2,3,3,1,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,0,1,17,18
1,0,19,0,1,1,2,2,2,2,1,1,1,3,0,0,0,0,0,1,1,1,1,5,4,5,1,1,1,0,1,12,13
0,0,18,0,0,1,3,3,3,3,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,8,1,10,11
0,0,16,0,1,1,2,4,2,1,0,0,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,1,14,12
1,0,17,0,0,1,2,2,2,0,1,1,1,3,0,0,0,0,1,1,1,0,1,3,4,3,1,1,3,8,0,13,11
0,0,15,0,1,0,4,3,2,2,0,1,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,0,8,8
1,1,20,1,0,1,1,1,2,2,0,2,2,1,1,0,1,0,0,1,0,1,1,4,4,3,2,4,4,12,1,8,11
0,0,18,1,0,1,1,1,0,2,0,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,0,9,8
1,0,15,0,0,1,2,1,0,2,1,1,1,2,0,1,1,0,0,0,1,1,0,4,4,2,3,3,2,0,1,9,10
0,1,16,0,0,1,1,0,2,2,3,1,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,0,13,15
0,0,16,0,0,1,4,4,3,3,3,1,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,0,13,14
0,1,15,0,0,1,4,4,2,4,3,0,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,1,16,15
0,1,15,0,0,1,4,2,4,2,1,1,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,0,15,15
0,0,17,0,0,1,1,1,0,3,0,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,0,8,8
1,0,18,1,0,1,2,2,0,2,0,1,3,2,1,0,0,0,1,1,1,0,1,4,3,3,1,1,4,0,1,9,0
0,0,15,0,0,1,1,2,0,3,0,1,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,1,14,14
0,0,17,0,0,1,1,1,3,4,3,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0,1,13,13
0,1,18,1,1,1,3,2,3,2,3,1,2,3,0,0,1,0,1,1,1,1,0,5,4,2,1,1,4,0,1,14,15
0,0,15,0,0,1,4,4,3,3,3,0,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,1,12,11
0,0,18,0,0,1,1,1,2,2,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,0,8,9
